Name,Club,Age,International Reputation,Nationality
De Tomás,Rayo Vallecano,23,1.0,Spain
E. Balanta,FC Basel 1893,25,1.0,Colombia
T. Koubek,Stade Rennais FC,25,1.0,Czech Republic
J. Allen,Stoke City,28,2.0,Wales
Alan Carvalho,Guangzhou Evergrande Taobao FC,28,2.0,Brazil
S. Ristovski,Sporting CP,26,1.0,FYR Macedonia
Maicón,Antalyaspor,28,1.0,Brazil
D. Quintero,Minnesota United FC,30,1.0,Colombia
P. Højbjerg,Southampton,22,2.0,Denmark
I. Santini,RSC Anderlecht,29,1.0,Croatia
Vieirinha,PAOK,32,2.0,Portugal
M. Boselli,Club León,33,2.0,Argentina
L. Antonelli,Empoli,31,2.0,Italy
B. Embolo,FC Schalke 04,21,2.0,Switzerland
V. Eysseric,Fiorentina,26,2.0,France
C. Salcedo,Eintracht Frankfurt,24,1.0,Mexico
A. Ranocchia,Inter,30,2.0,Italy
L. Unnerstall,VVV-Venlo,27,1.0,Germany
T. Baumgartl,VfB Stuttgart,22,1.0,Germany
F. Bustos,Independiente,22,1.0,Argentina
P. Jansson,Leeds United,27,1.0,Sweden
W. Vainqueur,Antalyaspor,29,2.0,France
S. Kverkvelia,Lokomotiv Moscow,26,1.0,Georgia
Rubén Blanco,RC Celta,22,1.0,Spain
P. Aguilar,Cruz Azul,31,1.0,Paraguay
A. Ndiaye Diedhiou,Getafe CF,21,1.0,Senegal
Rafinha,FC Bayern München,32,2.0,Brazil
D. Limberský,Viktoria Plzeň,34,2.0,Czech Republic
G. Cabral,RC Celta,32,2.0,Argentina
J. De Guzmán,Eintracht Frankfurt,30,2.0,Netherlands
S. Terodde,1. FC Köln,30,2.0,Germany
J. Fernandes,Alanyaspor,29,1.0,Chile
Kiko Femenía,Watford,27,1.0,Spain
Recio,CD Leganés,27,1.0,Spain
A. Samedov,Spartak Moscow,33,2.0,Russia
A. Smith,Bournemouth,27,1.0,England
Maurício,PAOK,29,1.0,Brazil
D. Stephens,Brighton & Hove Albion,29,1.0,England
Miguel Lopes,Akhisar Belediyespor,31,2.0,Portugal
I. Belfodil,TSG 1899 Hoffenheim,26,2.0,Algeria
J. Campbell,Frosinone,26,2.0,Costa Rica
Marc Roca,RCD Espanyol,21,1.0,Spain
M. Veljković,SV Werder Bremen,22,1.0,Serbia
J. Willems,Eintracht Frankfurt,24,2.0,Netherlands
A. Lennon,Burnley,31,2.0,England
F. Forster,Southampton,30,2.0,England
Júnior Caiçara,Medipol Başakşehir FK,29,2.0,Brazil
C. Biraghi,Fiorentina,25,1.0,Italy
Aritz Elustondo,Real Sociedad,24,1.0,Spain
Fred Aníbão,Atlético Paranaense,26,1.0,Brazil
O. Romero,Shanghai Greenland Shenhua FC,25,1.0,Paraguay
Nelsildo Reis,Botafogo,30,1.0,Brazil
V. Koziello,1. FC Köln,22,2.0,France
A. Cresswell,West Ham United,28,2.0,England
Alex Berenguer,Torino,22,1.0,Spain
C. Davies,Derby County,33,2.0,England
C. Kouyaté,Crystal Palace,28,2.0,Senegal
Y. Kobayashi,Kawasaki Frontale,30,1.0,Japan
Camarasa,Cardiff City,24,1.0,Spain
J. Martin,RC Strasbourg Alsace,28,2.0,France
J. Grealish,Aston Villa,22,1.0,England
D. Pelkas,PAOK,24,1.0,Greece
J. Montero,Swansea City,28,2.0,Ecuador
J. Forrest,Celtic,26,1.0,Scotland
Varela,PAOK,30,1.0,Cape Verde
M. Antenucci,SPAL,33,1.0,Italy
R. Durmisi,Lazio,24,1.0,Denmark
P. Schwegler,Hannover 96,31,2.0,Switzerland
A. Hunt,Hamburger SV,31,2.0,Germany
Aday Benítez,Girona FC,30,1.0,Spain
K. Tierney,Celtic,21,1.0,Scotland
Jaume,Valencia CF,27,1.0,Spain
S. Gigot,Spartak Moscow,24,1.0,France
I. Brizuela,Guadalajara,27,1.0,Mexico
A. Souquet,KAA Gent,26,2.0,France
A. Delort,Montpellier HSC,26,2.0,France
P. Zabaleta,West Ham United,33,3.0,Argentina
Andeson Trigo,Fluminense,30,1.0,Brazil
J. Gnagnon,Sevilla FC,21,1.0,France
Mosquera,Deportivo de La Coruña,30,2.0,Spain
I. Bebou,Hannover 96,24,1.0,Togo
R. Morrison,Lazio,25,1.0,England
L. Christodoulopoulos,Olympiacos CFP,31,1.0,Greece
J. McArthur,Crystal Palace,30,1.0,Scotland
R. Olsen,Roma,28,1.0,Sweden
W. Hoedt,Southampton,24,2.0,Netherlands
R. Holding,Arsenal,22,1.0,England
F. Montero,Sporting CP,30,2.0,Colombia
N. Sliti,Dijon FCO,25,1.0,Tunisia
J. Vázquez,Santos Laguna,30,1.0,Mexico
Rodrigo Ely,Deportivo Alavés,24,1.0,Brazil
M. Benítez,Independiente,24,1.0,Argentina
Y. Yazıcı,Trabzonspor,21,1.0,Turkey
Y. Sankharé,FC Girondins de Bordeaux,28,2.0,Senegal
A. N'Diaye,Málaga CF,28,1.0,Senegal
S. Bell,1. FSV Mainz 05,26,1.0,Germany
K. Linetty,Sampdoria,23,2.0,Poland
F. Uduokhai,VfL Wolfsburg,20,1.0,Germany
M. Samatta,KRC Genk,25,1.0,Tanzania
Barragán,Real Betis,31,1.0,Spain
R. Hamouma,AS Saint-Étienne,31,2.0,France
L. Skorupski,Bologna,27,2.0,Poland
Toño García,Levante UD,28,1.0,Spain
A. Szalai,TSG 1899 Hoffenheim,30,2.0,Hungary
Raúl Navas,Real Sociedad,30,1.0,Spain
B. Koné,MKE Ankaragücü,30,2.0,Burkina Faso
J. Brekalo,VfL Wolfsburg,20,1.0,Croatia
Diego Tardelli,Shandong Luneng TaiShan FC,33,2.0,Brazil
A. Hegazi,West Bromwich Albion,27,1.0,Egypt
M. Sels,RC Strasbourg Alsace,26,1.0,Belgium
D. Gray,Leicester City,22,1.0,England
M. Pjaca,Fiorentina,23,2.0,Croatia
M. Arambarri,Getafe CF,22,1.0,Uruguay
A. Ćorić,Roma,21,1.0,Croatia
T. Gebre Selassie,SV Werder Bremen,31,2.0,Czech Republic
C. Nkunku,Paris Saint-Germain,20,1.0,France
M. Topal,Fenerbahçe SK,32,2.0,Turkey
Léo Matos,PAOK,32,1.0,Brazil
F. Kainz,SV Werder Bremen,25,1.0,Austria
B. Henrichs,AS Monaco,21,2.0,Germany
Victildinho,Vitória,34,1.0,Brazil
D. Praet,Sampdoria,24,2.0,Belgium
A. Umar,Çaykur Rizespor,23,1.0,Nigeria
J. Orozco,Santos Laguna,32,2.0,Mexico
N. El Zhar,CD Leganés,31,1.0,Morocco
O. Colley,Sampdoria,25,1.0,Gambia
J. Aholou,AS Monaco,24,1.0,Ivory Coast
G. Clichy,Medipol Başakşehir FK,32,3.0,France
Rubén Sobrino,Deportivo Alavés,26,1.0,Spain
J. Iturbe,U.N.A.M.,25,2.0,Paraguay
H. Soudani,Nottingham Forest,30,1.0,Algeria
M. Bradley,Toronto FC,30,2.0,United States
Z. Labyad,Ajax,25,1.0,Morocco
D. Mbokani,Royal Antwerp FC,32,2.0,DR Congo
T. Mangani,Angers SCO,31,2.0,France
A. Lunin,CD Leganés,19,1.0,Ukraine
E. Insúa,VfB Stuttgart,29,2.0,Argentina
N. Domingo,Independiente,33,1.0,Argentina
D. Yedlin,Newcastle United,24,1.0,United States
D. González,Club Tijuana,30,1.0,Argentina
T. Kraft,Hertha BSC,29,2.0,Germany
M. Simon,Levante UD,22,1.0,Nigeria
Davi Parrela,Sport Club do Recife,30,1.0,Brazil
N. Domínguez,Racing Club,28,1.0,Argentina
C. Dawson,West Bromwich Albion,28,2.0,England
A. Rusnák,Real Salt Lake,23,1.0,Slovakia
Paulo Oliveira,SD Eibar,27,1.0,Portugal
A. Gomis,SPAL,24,1.0,Senegal
H. Tekin,Fenerbahçe SK,29,1.0,Turkey
Tozé,Vitória Guimarães,25,1.0,Portugal
R. Ruidíaz,Seattle Sounders FC,27,1.0,Peru
J. Hogg,Huddersfield Town,29,1.0,England
L. Holtby,Hamburger SV,27,2.0,Germany
A. Djiku,Stade Malherbe Caen,23,1.0,France
O. Alonso,Seattle Sounders FC,32,1.0,Cuba
S. Berge,KRC Genk,20,1.0,Norway
C. Zambrano,FC Basel 1893,28,2.0,Peru
M. Antonio,West Ham United,28,2.0,England
J. Clasie,Feyenoord,27,2.0,Netherlands
Diego Rico,Bournemouth,25,1.0,Spain
Mossoró,Medipol Başakşehir FK,34,1.0,Brazil
G. Donsah,Bologna,22,1.0,Ghana
Felipe,SPAL,33,2.0,Brazil
S. Fofana,Udinese,23,2.0,Ivory Coast
Pablo Santos,SC Braga,26,1.0,Brazil
J. Svensson,AZ Alkmaar,25,1.0,Norway
E. Roco,Beşiktaş JK,25,2.0,Chile
F. Midtsjø,AZ Alkmaar,24,1.0,Norway
Francis,Real Betis,22,1.0,Spain
Ivi,Real Valladolid CF,24,1.0,Spain
Unai Núñez,Athletic Club de Bilbao,21,1.0,Spain
L. Lerager,FC Girondins de Bordeaux,24,1.0,Denmark
P. De Blasis,SD Eibar,30,1.0,Argentina
M. Zajc,Empoli,24,1.0,Slovenia
J. Stanislas,Bournemouth,28,1.0,England
Lucas Evangelista,FC Nantes,23,1.0,Brazil
M. Stoch,SK Slavia Praha,28,2.0,Slovakia
S. van Beek,Feyenoord,23,1.0,Netherlands
Fabrio Farinha,Atlético Mineiro,26,1.0,Brazil
M. Kozáčik,Viktoria Plzeň,34,1.0,Slovakia
Fran Sol,Willem II,26,1.0,Spain
R. Otero,Al Wehda,25,1.0,Venezuela
G. Maripán,Deportivo Alavés,24,1.0,Chile
M. Braithwaite,Middlesbrough,27,2.0,Denmark
E. Dilaver,Dinamo Zagreb,27,1.0,Austria
R. Álvarez,Club Atlas,30,2.0,Argentina
A. Masuaku,West Ham United,24,1.0,DR Congo
Rolando,Olympique de Marseille,32,2.0,Portugal
Fran Rico,Granada CF,30,1.0,Spain
D. Tarasov,Lokomotiv Moscow,31,1.0,Russia
Alcalá,Girona FC,29,1.0,Spain
Alan Patrick,Shakhtar Donetsk,27,1.0,Brazil
L. Refaelov,Royal Antwerp FC,32,2.0,Israel
Palhinha,SC Braga,22,1.0,Portugal
Balenziaga,Athletic Club de Bilbao,30,1.0,Spain
R. Petrović,Sporting CP,29,1.0,Serbia
K. Ansarifard,Nottingham Forest,28,1.0,Iran
M. Ninković,Sydney FC,33,2.0,Serbia
A. Talavera,Deportivo Toluca,35,2.0,Mexico
A. Barrada,Antalyaspor,29,1.0,Morocco
J. Korb,Hannover 96,26,2.0,Germany
F. Gutiérrez,Sporting Kansas City,27,2.0,Chile
T. Bongonda,SV Zulte-Waregem,22,1.0,Belgium
Simão Donatinho,Cruzeiro,34,1.0,Brazil
Luís Hernández,Málaga CF,29,1.0,Spain
L. Balogun,Brighton & Hove Albion,30,1.0,Nigeria
M. Rog,Napoli,22,2.0,Croatia
B. Dočkal,Philadelphia Union,29,1.0,Czech Republic
J. Durmaz,Toulouse Football Club,29,2.0,Sweden
T. Kádár,Dynamo Kyiv,28,1.0,Hungary
E. Andrada,Boca Juniors,27,1.0,Argentina
Z. Steffen,Columbus Crew SC,23,1.0,United States
M. Lestienne,Standard de Liège,26,1.0,Belgium
M. Alustiza,U.N.A.M.,34,1.0,Argentina
Borja Mayoral,Levante UD,21,1.0,Spain
D. Bonera,Villarreal CF,37,2.0,Italy
Saúl Berjón,Real Oviedo,32,1.0,Spain
C. Beauvue,Stade Malherbe Caen,30,1.0,France
Danilo,OGC Nice,22,1.0,Brazil
J. Hernández,Pachuca,29,1.0,Mexico
J. Hendrick,Burnley,26,1.0,Republic of Ireland
M. Lopez,Olympique de Marseille,20,1.0,France
F. Hanin,Vitória Guimarães,28,1.0,France
D. Machís,Udinese,25,1.0,Venezuela
A. Potuk,Fenerbahçe SK,27,1.0,Turkey
Idris,Boavista FC,33,1.0,Senegal
N. Cardozo,Racing Club,31,1.0,Argentina
Javi López,RCD Espanyol,32,1.0,Spain
G. Pandev,Genoa,34,2.0,FYR Macedonia
Júlio Tavares,Dijon FCO,29,1.0,Cape Verde
D. Liénard,RC Strasbourg Alsace,30,1.0,France
Y. Pelé,Olympique de Marseille,35,1.0,France
L. Sepe,Parma,27,1.0,Italy
J. Bruma,VfL Wolfsburg,26,2.0,Netherlands
O. Duarte,RCD Espanyol,29,1.0,Costa Rica
A. Franco,Independiente,21,1.0,Argentina
Dani Olmo,Dinamo Zagreb,20,1.0,Spain
F. Di Santo,FC Schalke 04,29,2.0,Argentina
Jozabed,RC Celta,27,1.0,Spain
G. Carrillo,CD Leganés,27,1.0,Argentina
M. Zeegelaar,Watford,27,1.0,Netherlands
G. Ferrari,Sassuolo,26,1.0,Italy
O. Şahiner,Atiker Konyaspor,26,1.0,Turkey
I. Traoré,Angers SCO,31,2.0,Ivory Coast
T. Arslan,Beşiktaş JK,27,1.0,Germany
N. Araújo,RC Celta,26,1.0,Mexico
S. Armstrong,Southampton,26,1.0,Scotland
K. Billiat,Kaizer Chiefs,27,1.0,Zimbabwe
Ivan Cavaleiro,Wolverhampton Wanderers,24,1.0,Portugal
E. Cabaco,Levante UD,23,1.0,Uruguay
Silas Almeim,Vitória,26,1.0,Brazil
C. Kameni,Fenerbahçe SK,34,2.0,Cameroon
Hélder Costa,Wolverhampton Wanderers,24,1.0,Portugal
E. Durm,Huddersfield Town,26,2.0,Germany
Emerson,Chelsea,23,2.0,Italy
G. Haraguchi,Hannover 96,27,2.0,Japan
C. Fuchs,Leicester City,32,2.0,Austria
E. Kalinski,Club Atlético Banfield,31,1.0,Argentina
Rafael,Cagliari,36,2.0,Brazil
F. Frei,FC Basel 1893,29,1.0,Switzerland
M. Risse,1. FC Köln,28,2.0,Germany
Renan Bressan,GD Chaves,29,1.0,Belarus
Lucas Lima,FC Nantes,26,1.0,Brazil
M. Silvestre,Empoli,33,2.0,Italy
Portillo,Getafe CF,28,1.0,Spain
F. Rønnow,Eintracht Frankfurt,25,1.0,Denmark
N. Spolli,Genoa,35,2.0,Argentina
S. Rajković,Palermo,29,2.0,Serbia
R. Berić,AS Saint-Étienne,27,2.0,Slovenia
V. Hernández,Atlético Nacional,29,1.0,Colombia
Claudemir,SC Braga,30,1.0,Brazil
T. Jantschke,Borussia Mönchengladbach,28,2.0,Germany
L. Schaub,1. FC Köln,23,1.0,Austria
P. Tschauner,Hannover 96,32,1.0,Germany
Gabrisco Aníbal,Paraná,26,1.0,Brazil
B. Feilhaber,Los Angeles FC,33,2.0,United States
A. Grassi,Parma,23,1.0,Italy
N. Vikonis,Puebla FC,34,1.0,Uruguay
P. Ntep,VfL Wolfsburg,25,2.0,Cameroon
L. Vangioni,Monterrey,31,1.0,Argentina
S. Okazaki,Leicester City,32,2.0,Japan
Diego Castro,Perth Glory,35,2.0,Spain
C. Jallet,OGC Nice,34,2.0,France
O. Pineda,Guadalajara,22,1.0,Mexico
A. Mounier,Panathinaikos FC,30,2.0,France
Sandro,Genoa,29,2.0,Brazil
N. Redmond,Southampton,24,2.0,England
Gálvez,Rayo Vallecano,29,2.0,Spain
A. Song,FC Sion,30,3.0,Cameroon
E. Badu,Udinese,27,2.0,Ghana
M. Agu,Vitória de Setúbal,25,1.0,Nigeria
Jason,Levante UD,23,1.0,Spain
S. Cristóforo,Getafe CF,24,2.0,Uruguay
L. Butelle,Angers SCO,35,2.0,France
Allan Bardinho,Botafogo,26,1.0,Brazil
P. Dummett,Newcastle United,26,1.0,Wales
H. Villalba,Atlanta United,23,1.0,Paraguay
K. Amian,Toulouse Football Club,20,1.0,France
José Mirazar,Grêmio,34,1.0,Brazil
A. Hernández,PFC CSKA Moscow,27,2.0,Uruguay
Ailton Guevara,América FC (Minas Gerais),26,1.0,Brazil
O. Akhmedov,Shanghai SIPG FC,30,1.0,Uzbekistan
Naldo,RCD Espanyol,29,1.0,Brazil
Y. Ayoub,Feyenoord,24,1.0,Morocco
A. Ring,New York City FC,27,1.0,Finland
B. Ndiaye,Galatasaray SK,27,1.0,Senegal
Kaku,New York Red Bulls,23,1.0,Paraguay
Adilson Edrada,Santos,26,1.0,Brazil
A. Ibargüen,Club América,26,1.0,Colombia
Iraizoz,Girona FC,37,2.0,Spain
N. Nikolić,Chicago Fire,30,2.0,Hungary
J. Kurtić,SPAL,29,2.0,Slovenia
K. Wimmer,Hannover 96,25,2.0,Austria
A. Mejía,Club León,29,1.0,Colombia
A. Barreca,AS Monaco,23,1.0,Italy
Gil Dias,Nottingham Forest,21,1.0,Portugal
J. Locadia,Brighton & Hove Albion,24,1.0,Netherlands
S. Kryvtsov,Shakhtar Donetsk,27,1.0,Ukraine
O. Peralta,Club América,34,2.0,Mexico
C. Budescu,Al Shabab,29,1.0,Romania
A. Raggi,AS Monaco,34,2.0,Italy
R. Donk,Galatasaray SK,32,1.0,Netherlands
Edgar Méndez,Cruz Azul,27,1.0,Spain
L. De Silvestri,Torino,30,2.0,Italy
M. Saracchi,RB Leipzig,20,1.0,Uruguay
D. Congré,Montpellier HSC,33,2.0,France
M. Fritzler,Club Atlético Colón,31,1.0,Argentina
T. Kolodziejczak,AS Saint-Étienne,26,2.0,France
Caio Nunson,Vitória,30,1.0,Brazil
Felipe Vizeu,Udinese,21,1.0,Brazil
J. Damm,Tigres U.A.N.L.,25,3.0,Mexico
Guilherme,Olympiacos CFP,27,1.0,Brazil
G. Nkoudou,Tottenham Hotspur,23,1.0,France
Joel Robles,Real Betis,28,1.0,Spain
B. Zungu,Amiens SC,25,1.0,South Africa
Otávio Cairinho,Internacional,26,1.0,Brazil
P. Gouano,Amiens SC,24,1.0,France
C. Domínguez,Club América,23,1.0,Paraguay
R. Falk,FC København,26,1.0,Denmark
André Ramalho,FC Red Bull Salzburg,26,1.0,Brazil
G. Schennikov,PFC CSKA Moscow,27,1.0,Russia
M. Morozyuk,Dynamo Kyiv,30,1.0,Ukraine
J. van der Heijden,Feyenoord,30,1.0,Netherlands
A. Musa,Al Nassr,25,2.0,Nigeria
A. Diaby,Sporting CP,27,1.0,Mali
G. İnler,Medipol Başakşehir FK,34,3.0,Switzerland
L. Cigarini,Cagliari,32,2.0,Italy
Júnior Urso,Guangzhou R&F; FC,29,1.0,Brazil
B. Butko,Shakhtar Donetsk,27,1.0,Ukraine
R. Thomas,PSV,23,1.0,New Zealand
M. Jensen,RC Celta,22,1.0,Denmark
Burgui,Deportivo Alavés,24,1.0,Spain
A. Meret,Napoli,21,1.0,Italy
M. Gonalons,Sevilla FC,29,3.0,France
D. Valdés,Monarcas Morelia,24,1.0,Chile
Marafona,SC Braga,31,1.0,Portugal
R. Karsdorp,Roma,23,1.0,Netherlands
I. Opara,Sporting Kansas City,29,1.0,United States
K. Laimer,RB Leipzig,21,1.0,Austria
O. Kamara,LA Galaxy,28,1.0,Norway
S. Gentiletti,Albacete BP,33,2.0,Argentina
Serey Dié,FC Basel 1893,33,2.0,Ivory Coast
A. Westwood,Burnley,28,1.0,England
C. Ciano,Frosinone,28,1.0,Italy
A. Conti,Milan,24,2.0,Italy
Bojan,Stoke City,27,2.0,Spain
C. Vargas,Deportivo Cali,29,1.0,Colombia
Éder,Lokomotiv Moscow,30,2.0,Portugal
Y. Benzia,Fenerbahçe SK,23,2.0,Algeria
W. Hennessey,Crystal Palace,31,2.0,Wales
E. Thommy,VfB Stuttgart,23,1.0,Germany
Bustinza,CD Leganés,26,1.0,Spain
Bernardo,Brighton & Hove Albion,23,1.0,Brazil
P. Cissé,Alanyaspor,33,2.0,Senegal
Oier,Levante UD,28,1.0,Spain
D. Gayle,West Bromwich Albion,27,1.0,England
Joelinton,TSG 1899 Hoffenheim,21,1.0,Brazil
A. Pérez,Deportivo Cali,37,1.0,Colombia
B. Jones,Al Nassr,36,1.0,Australia
J. Drmić,Borussia Mönchengladbach,25,2.0,Switzerland
M. Mount,Derby County,19,1.0,England
A. McGregor,Rangers FC,36,2.0,Scotland
O. Elabdellaoui,Olympiacos CFP,26,1.0,Norway
R. Steffen,VfL Wolfsburg,26,1.0,Switzerland
K. Kanga,Sparta Praha,27,1.0,Gabon
J. Ananidze,Spartak Moscow,25,2.0,Georgia
S. Ilsanker,RB Leipzig,29,1.0,Austria
A. Blake,Philadelphia Union,27,1.0,Jamaica
Nicholas Aldair,Fluminense,26,1.0,Brazil
R. Sessegnon,Fulham,18,1.0,England
Jorginhson,Vitória,26,1.0,Brazil
Carlitos,Legia Warszawa,28,1.0,Spain
L. Nguyen,Los Angeles FC,31,1.0,United States
A. Paschalakis,PAOK,28,1.0,Greece
Fabrício,Urawa Red Diamonds,28,1.0,Brazil
M. Coco,En Avant de Guingamp,22,2.0,France
K. Babacar,Sassuolo,25,2.0,Senegal
Postigo,Levante UD,29,1.0,Spain
Renato Sanches,FC Bayern München,20,3.0,Portugal
M. Caruzzo,Rosario Central,33,1.0,Argentina
G. Konan,Stade de Reims,22,1.0,Ivory Coast
S. Mounié,Huddersfield Town,23,1.0,Benin
P. Capelle,Angers SCO,31,1.0,France
T. Davies,Everton,20,1.0,England
N. Dirar,Fenerbahçe SK,32,2.0,Morocco
J. Toornstra,Feyenoord,29,1.0,Netherlands
Paulinho,Portimonense SC,23,1.0,Brazil
S. Larsson,Feyenoord,25,1.0,Sweden
J. Kluivert,Roma,19,1.0,Netherlands
H. Ayala,Tigres U.A.N.L.,31,1.0,Mexico
Miguel Silva,Vitória Guimarães,23,1.0,Portugal
D. Rolán,CD Leganés,25,2.0,Uruguay
L. Klostermann,RB Leipzig,22,1.0,Germany
G. Rodríguez,Club América,23,1.0,Argentina
M. Locatelli,Sassuolo,20,1.0,Italy
F. Caputo,Empoli,30,1.0,Italy
A. Roa,Club Atlético Huracán,25,1.0,Colombia
Keko,Real Valladolid CF,26,2.0,Spain
A. El Khayati,ADO Den Haag,29,1.0,Netherlands
F. Schär,Newcastle United,26,2.0,Switzerland
A. Haidara,FC Red Bull Salzburg,20,1.0,Mali
Chema Rodríguez,Levante UD,26,1.0,Spain
G. dos Santos,LA Galaxy,29,3.0,Mexico
T. Bifouma,MKE Ankaragücü,26,1.0,Congo
Dani Rochelinhas,Chapecoense,26,1.0,Brazil
M. Ostrzolek,Hannover 96,28,2.0,Germany
Sandro,Real Sociedad,22,2.0,Spain
L. Deaux,En Avant de Guingamp,29,2.0,France
J. Vuković,Olympiacos CFP,30,1.0,Serbia
J. Hansen,FC Midtjylland,33,1.0,Denmark
Gonçalo Paciência,Eintracht Frankfurt,23,1.0,Portugal
Córdoba,Athletic Club de Bilbao,21,1.0,Spain
P. Pekarík,Hertha BSC,31,2.0,Slovakia
Ximo Navarro,Deportivo Alavés,28,1.0,Spain
Pablo Hernández,Leeds United,33,2.0,Spain
G. Kashia,San Jose Earthquakes,30,1.0,Georgia
Cássio,Al Taawoun,37,1.0,Brazil
S. Bamba,Cardiff City,33,1.0,Ivory Coast
S. Kums,RSC Anderlecht,30,2.0,Belgium
Fábio Martins,SC Braga,24,1.0,Portugal
M. Suárez,Belgrano de Córdoba,30,2.0,Argentina
S. Mitrović,RC Strasbourg Alsace,28,1.0,Serbia
D. Aogo,VfB Stuttgart,31,2.0,Germany
B. Engels,Stade de Reims,23,2.0,Belgium
F. Tait,Angers SCO,25,1.0,France
D. Zagadou,Borussia Dortmund,19,1.0,France
M. Diamé,Newcastle United,31,2.0,Senegal
A. Younes,Napoli,24,2.0,Germany
B. Verstraete,KAA Gent,24,1.0,Belgium
K. Akpoguma,TSG 1899 Hoffenheim,23,1.0,Germany
B. Santamaria,Angers SCO,23,1.0,France
E. Moretti,Torino,37,2.0,Italy
H. Behrens,1. FC Nürnberg,28,1.0,Germany
M. Maignan,LOSC Lille,22,1.0,France
Y. Karamoh,FC Girondins de Bordeaux,19,1.0,France
V. Ignatiev,Lokomotiv Moscow,31,1.0,Russia
A. Thomasson,RC Strasbourg Alsace,24,1.0,France
D. Amartey,Leicester City,23,1.0,Ghana
R. Özcan,Bayer 04 Leverkusen,34,1.0,Austria
A. Donnarumma,Brescia,27,1.0,Italy
Timor,UD Las Palmas,28,1.0,Spain
C. McGregor,Celtic,25,1.0,Scotland
R. Martínez,Club América,24,1.0,Colombia
V. Buyalskyi,Dynamo Kyiv,25,1.0,Ukraine
H. Arter,Cardiff City,28,1.0,Republic of Ireland
A. Mawson,Fulham,24,1.0,England
F. Guilbert,Stade Malherbe Caen,23,1.0,France
M. Lemos,Sassuolo,22,1.0,Uruguay
S. Sturaro,Sporting CP,25,2.0,Italy
A. Duncan,Sassuolo,25,2.0,Ghana
Marlon,Sassuolo,22,1.0,Brazil
M. Isla,Fenerbahçe SK,30,2.0,Chile
Thiago Maia,LOSC Lille,21,1.0,Brazil
Y. Aït Bennasser,AS Monaco,21,1.0,Morocco
O. Toivonen,Melbourne Victory,31,2.0,Sweden
J. Urretaviscaya,Monterrey,28,1.0,Uruguay
Yuri Ribeiro,SL Benfica,21,1.0,Portugal
N. Tomović,Chievo Verona,30,2.0,Serbia
F. Roncaglia,RC Celta,31,2.0,Argentina
R. Botta,San Lorenzo de Almagro,28,1.0,Argentina
R. Mandragora,Udinese,21,1.0,Italy
A. Adomah,Aston Villa,30,1.0,Ghana
D. Samassékou,FC Red Bull Salzburg,22,1.0,Mali
M. Yoshida,Southampton,29,1.0,Japan
N. Viergever,PSV,28,1.0,Netherlands
R. Amalfitano,Dijon FCO,28,1.0,France
D. Cataldi,Lazio,23,2.0,Italy
Martín,Deportivo Alavés,22,1.0,Spain
Tiago Pinto,MKE Ankaragücü,30,1.0,Portugal
Fernandinho,Chongqing Dangdai Lifan FC SWM Team,25,1.0,Brazil
M. Gaćinović,Eintracht Frankfurt,23,1.0,Serbia
G. Shoji,Kashima Antlers,25,1.0,Japan
L. Rigoni,Parma,33,2.0,Italy
M. Krmenčík,Viktoria Plzeň,25,1.0,Czech Republic
C. Daniels,Bournemouth,31,1.0,England
K. Stafylidis,FC Augsburg,24,1.0,Greece
Sabin Merino,CD Leganés,26,1.0,Spain
A. Flint,Middlesbrough,28,1.0,England
Brais Méndez,RC Celta,21,1.0,Spain
Merino,Real Sociedad,22,1.0,Spain
S. Missiroli,SPAL,32,2.0,Italy
Serantes,CD Leganés,28,1.0,Spain
V. Guzmán,Pachuca,23,1.0,Mexico
D. Biseswar,PAOK,30,1.0,Netherlands
E. Mas,Boca Juniors,29,1.0,Argentina
Nuno Pinto,Vitória de Setúbal,31,1.0,Portugal
Carlos Mané,Sporting CP,24,1.0,Portugal
Borja Valle,Deportivo de La Coruña,25,1.0,Spain
Zeca,FC København,29,1.0,Greece
C. Toselli,CD Everton de Viña del Mar,30,1.0,Chile
M. Bizot,AZ Alkmaar,27,1.0,Netherlands
K. Ayhan,Fortuna Düsseldorf,23,1.0,Turkey
Ricardo Ferreira,SC Braga,25,1.0,Portugal
N. Roux,En Avant de Guingamp,30,2.0,France
Hernâni,FC Porto,26,2.0,Portugal
M. Çağıran,Çaykur Rizespor,25,1.0,Turkey
W. Morgan,Leicester City,34,2.0,Jamaica
J. Alonso,RC Celta,25,1.0,Paraguay
M. Wakaso,Deportivo Alavés,27,1.0,Ghana
Y. Mvogo,RB Leipzig,24,1.0,Switzerland
Kaíquão Castro,Fluminense,34,1.0,Brazil
P. Hurtado,Atiker Konyaspor,27,1.0,Peru
D. Bocanegra,Atlético Nacional,31,1.0,Colombia
Melero,SD Huesca,24,1.0,Spain
Borja Bastón,Deportivo Alavés,25,2.0,Spain
O. Murillo,Pachuca,30,1.0,Colombia
O. Onazi,Trabzonspor,25,1.0,Nigeria
C. Günter,SC Freiburg,25,2.0,Germany
I. Amadou,Sevilla FC,25,2.0,France
Unai López,Athletic Club de Bilbao,22,1.0,Spain
K. Iheanacho,Leicester City,21,1.0,Nigeria
C. Söyüncü,Leicester City,22,1.0,Turkey
B. Pearson,Preston North End,23,1.0,England
F. Niederlechner,SC Freiburg,27,1.0,Germany
