NationalityDiversity_norm,WorkRate_Balance_norm,International Reputation_norm,Age_closeness_norm,Chemistry_Index_100
0.3,0.3277129761401562,0.0,0.5444154147615934,29.30320977254374
0.25,0.3363080800067571,0.0,0.3128925287645074,22.48001521928161
0.15,0.6095408989970761,0.0243664717348927,0.4474199869366422,30.78318394171528
0.8500000000000001,0.3152087665013829,0.0797448165869217,0.423371533756903,41.70812792113019
0.15,0.3707142216033962,0.1644736842105263,0.6447699916021277,33.248947435401256
0.4499999999999999,0.5813188231645486,0.7309941520467836,0.4180274330502938,54.50851020654065
0.3999999999999999,0.1712877376320274,0.1174812030075188,0.4967574881030141,29.63816071856401
0.1999999999999999,0.7120190726639413,0.0657894736842105,0.6443500979751793,40.55396610808328
0.35,0.3362570121476321,0.0274122807017544,0.351894186806009,26.63908699138489
0.4999999999999999,0.2679337512399307,0.0487329434697856,0.4180274330502938,30.86735319400025
0.0499999999999999,0.2872116090809754,0.1644736842105263,0.6447699916021277,28.661382122340733
0.4999999999999999,0.4271341899803822,0.0253036437246964,0.2959352861377682,31.209327996071167
0.4499999999999999,0.4448561828990651,0.0,0.4078530874742498,32.56773175933287
0.35,0.8113743372912233,0.0,0.3461789679947746,37.688832632149946
0.5999999999999999,0.3138628323504893,0.2990430622009569,0.2470162104388102,36.49805262475641
0.1999999999999999,0.2602031750937019,0.0,0.5565923299430815,25.419887625919586
0.3999999999999999,0.334649159722552,0.0,0.3109545581785946,26.140092947528665
0.0499999999999999,0.1550552922775778,0.0,0.6605160026126713,21.639282372256226
0.0499999999999999,0.493624358621318,0.0,0.2370311801711984,19.516388469812917
0.1,0.8966701171506956,0.0,0.48101147709247,36.94203985607914
0.15,0.4358833629823436,0.0234962406015038,0.4841606792945785,27.33850707196065
0.1999999999999999,0.2876922696951867,0.0,0.1912848744984603,16.974428604841172
0.1999999999999999,0.289139266456426,0.0469924812030074,0.5188019035177756,26.373341279430228
0.15,0.6710846325875744,0.0286041189931349,0.598216567744867,36.19763298313941
